associated_id,term,type
786,CACNG1,ENTREZID
788,SLC25A20,ENTREZID
789,SLC25A20P1,ENTREZID
790,CAD,ENTREZID
793,CALB1,ENTREZID
794,CALB2,ENTREZID
795,S100G,ENTREZID
796,CALCA,ENTREZID
797,CALCB,ENTREZID
798,CALCP,ENTREZID
799,CALCR,ENTREZID
800,CALD1,ENTREZID
801,CALM1,ENTREZID
802,CALM1P1,ENTREZID
804,CALM1P2,ENTREZID
805,CALM2,ENTREZID
806,CALM2P2,ENTREZID
807,CALM2P3,ENTREZID
808,CALM3,ENTREZID
810,CALML3,ENTREZID
811,CALR,ENTREZID
813,CALU,ENTREZID
814,CAMK4,ENTREZID
815,CAMK2A,ENTREZID
816,CAMK2B,ENTREZID
817,CAMK2D,ENTREZID
818,CAMK2G,ENTREZID
819,CAMLG,ENTREZID
820,CAMP,ENTREZID
821,CANX,ENTREZID
822,CAPG,ENTREZID
823,CAPN1,ENTREZID
824,CAPN2,ENTREZID
825,CAPN3,ENTREZID
826,CAPNS1,ENTREZID
827,CAPN6,ENTREZID
828,CAPS,ENTREZID
829,CAPZA1,ENTREZID
830,CAPZA2,ENTREZID
831,CAST,ENTREZID
832,CAPZB,ENTREZID
833,CARS,ENTREZID
834,CASP1,ENTREZID
835,CASP2,ENTREZID
836,CASP3,ENTREZID
837,CASP4,ENTREZID
838,CASP5,ENTREZID
839,CASP6,ENTREZID
840,CASP7,ENTREZID
841,CASP8,ENTREZID
842,CASP9,ENTREZID
843,CASP10,ENTREZID
844,CASQ1,ENTREZID
845,CASQ2,ENTREZID
846,CASR,ENTREZID
847,CAT,ENTREZID
856,CATR1,ENTREZID
857,CAV1,ENTREZID
858,CAV2,ENTREZID
859,CAV3,ENTREZID
860,RUNX2,ENTREZID
861,RUNX1,ENTREZID
862,RUNX1T1,ENTREZID
863,CBFA2T3,ENTREZID
864,RUNX3,ENTREZID
865,CBFB,ENTREZID
866,SERPINA6,ENTREZID
867,CBL,ENTREZID
868,CBLB,ENTREZID
869,CBLN1,ENTREZID
871,SERPINH1,ENTREZID
873,CBR1,ENTREZID
874,CBR3,ENTREZID
875,CBS,ENTREZID
878,CCA1,ENTREZID
881,CCIN,ENTREZID
882,CCAL1,ENTREZID
883,KYAT1,ENTREZID
885,CCK,ENTREZID
886,CCKAR,ENTREZID
887,CCKBR,ENTREZID
889,KRIT1,ENTREZID
890,CCNA2,ENTREZID
891,CCNB1,ENTREZID
892,CCNC,ENTREZID
894,CCND2,ENTREZID
895,CCND2P1,ENTREZID
896,CCND3,ENTREZID
897,CCND3P1,ENTREZID
898,CCNE1,ENTREZID
899,CCNF,ENTREZID
900,CCNG1,ENTREZID
901,CCNG2,ENTREZID
902,CCNH,ENTREZID
904,CCNT1,ENTREZID
905,CCNT2,ENTREZID
907,CCT,ENTREZID
908,CCT6A,ENTREZID
909,CD1A,ENTREZID
910,CD1B,ENTREZID
911,CD1C,ENTREZID
912,CD1D,ENTREZID
913,CD1E,ENTREZID
914,CD2,ENTREZID
915,CD3D,ENTREZID
916,CD3E,ENTREZID
917,CD3G,ENTREZID
919,CD247,ENTREZID
920,CD4,ENTREZID
921,CD5,ENTREZID
922,CD5L,ENTREZID
923,CD6,ENTREZID
924,CD7,ENTREZID
925,CD8A,ENTREZID
926,CD8B,ENTREZID
927,CD8BP,ENTREZID
928,CD9,ENTREZID
929,CD14,ENTREZID
930,CD19,ENTREZID
931,MS4A1,ENTREZID
932,MS4A3,ENTREZID
933,CD22,ENTREZID
935,CD24P1,ENTREZID
936,CD24P2,ENTREZID
937,CD24P3,ENTREZID
938,CD24P4,ENTREZID
939,CD27,ENTREZID
940,CD28,ENTREZID
941,CD80,ENTREZID
942,CD86,ENTREZID
943,TNFRSF8,ENTREZID
944,TNFSF8,ENTREZID
945,CD33,ENTREZID
946,SIGLEC6,ENTREZID
947,CD34,ENTREZID
948,CD36,ENTREZID
949,SCARB1,ENTREZID
950,SCARB2,ENTREZID
951,CD37,ENTREZID
952,CD38,ENTREZID
953,ENTPD1,ENTREZID
954,ENTPD2,ENTREZID
955,ENTPD6,ENTREZID
956,ENTPD3,ENTREZID
957,ENTPD5,ENTREZID
958,CD40,ENTREZID
959,CD40LG,ENTREZID
960,CD44,ENTREZID
961,CD47,ENTREZID
962,CD48,ENTREZID
963,CD53,ENTREZID
965,CD58,ENTREZID
966,CD59,ENTREZID
967,CD63,ENTREZID
968,CD68,ENTREZID
969,CD69,ENTREZID
970,CD70,ENTREZID
971,CD72,ENTREZID
972,CD74,ENTREZID
973,CD79A,ENTREZID
974,CD79B,ENTREZID
975,CD81,ENTREZID
976,ADGRE5,ENTREZID
977,CD151,ENTREZID
978,CDA,ENTREZID
981,CDAN3,ENTREZID
982,CDB2,ENTREZID
983,CDK1,ENTREZID
984,CDK11B,ENTREZID
987,LRBA,ENTREZID
988,CDC5L,ENTREZID
989,SEPT7,ENTREZID
990,CDC6,ENTREZID
991,CDC20,ENTREZID
993,CDC25A,ENTREZID
994,CDC25B,ENTREZID
995,CDC25C,ENTREZID
996,CDC27,ENTREZID
997,CDC34,ENTREZID
998,CDC42,ENTREZID
999,CDH1,ENTREZID
1000,CDH2,ENTREZID
1001,CDH3,ENTREZID
1002,CDH4,ENTREZID
1003,CDH5,ENTREZID
1004,CDH6,ENTREZID
1005,CDH7,ENTREZID
1006,CDH8,ENTREZID
1007,CDH9,ENTREZID
1008,CDH10,ENTREZID
1009,CDH11,ENTREZID
1010,CDH12,ENTREZID
1011,CDH12P2,ENTREZID
